Post_link,Publish_date,Post_like,Caption,Hashtag,Comment_ID,Username,Datetime,Text,Reply_to
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",d948837a4f4883a95addb7af4164dde6528841522543ac2694f12fca06421b80,irezatnom,7/6/2022 20:17,"سوال یک: در صورت خرید واحد های صندوق های سرمایه گذاری مفید از طریق اپ مفید، آیا امکان ابطال اون صندوق ها از طریق همون اپ وجود داره؟ سوال دو: در صورت خرید واحد های صندوقی ها از طریق اپ مفید و ابطال اون یک روز بعد، با فرض ثابت بودن قیمت صندوق آیا کارمزد و هزینه بیشتری نسبت به کسی که یک سال بعد اون صندوق رو می فروشه باید بدیم؟",
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",e0273a14eccae93e204e963e2cfc920b4c3dce90fbd4d882104f4971b447d56e,mr.behzadfar59,7/6/2022 18:50,غیر مستقیم را ترجیح میدهم چون دانش کافی تسلط به بازار را ندارم. اگر هم سود قابل توجهی نداشته باشد حداقل ارزش سرمایه گذاری تا میزان نسبتا قابل قبولی در برابر تورم حفظ می شود.,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",b24ce84f5922db935ac560cd307e5104daf3cfabec762da10ea77ebe3ae4520b,aligerami2,7/6/2022 18:48,من غیر مستقیم رو انتخاب میکنم,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",b2e21d9f1dbef0ee224a98d7550e1b74aa95ad37ff7b85ad26d8edf9d5ac22be,mohamad_hassanpoor,7/6/2022 19:04,غیر مستقیم,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",daad832fabe0167811a56cbe716583c61196d7065a5e234e4349ad23da85d874,mortezaexe1,7/6/2022 19:56,با سلام سود صندوق ها روزشماره و یا مثل بانک به بالاترین موجودی یک ماه نگاه میکنه,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",e1d0c9e130053ea7d80196eb0132a9cb22b6fa290b96c59d703524ba5de50421,taherforoutan,7/6/2022 19:24,هنوزم ملت بورس میخرن؟😀😀😀😀,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",99d556b44bba51398cc70615631a30a302254fc7bf219f20d65c1af9257e4ba2,babazadeh_nader,7/6/2022 18:50,"به دلیل نداشتن تخصص بورسی، غیر مستقیم انتخابم میباشد",
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",8081ed51602f9b91047885c0c184233c72cf078e6f6d8f9cf10027e27f870ea8,sahar_naz181,7/6/2022 19:13,مستقیم زیرا بیکارم خودم و سرگرم می کنم,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",25152a3ffb027210adc6a9ad6c7a0cbc1919b3d047566d86a5f772994d2aaa8d,iraj.esfandi,7/6/2022 19:35,صندق اطلس اونهم فقط زمانیکه بازار وارد روند سعودی میشه,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",365f41a2dc8a39a68103ae038e4222306935c03b9bef5fcca02a86d4f63b52b3,sepidar_cactus,7/6/2022 18:46,فعلا که از هر دو روش نا امیدیم😢,
