,Tweet_ID,Username,User_ID,DateTime,Text,Reply_to,Hashtag,Reply,Retweet,Like
0,ff0319600950c2df20f26049c32c27622a42031ad8babff8455e7a657df8203e,Mohammad Atshani,@MohammadAtshani,9/17/2020 0:14,"با رونمایی از نسخه چاپیِ کتاب «ایروبیک خلاقیت»، انتشارات بادکوبه رسماً رونمایی شد و به همه اعضای 
@Badkoobeh
 هم یک نسخه اهدا شد. از طریق لینک موجود در صفحه انتشارات در اینستاگرام می‌تونید نسخه‌ی الکترونیک یا فیزیکی کتاب رو به همراه هدایای ویژه تهیه کنید.
https://instagram.com/badkoobehpublication…",,,,,10
1,5ac9d499ead8a4624dbcb685e4f3c15872c306ad749d1b1be9628ff9593a30d8,Arash Soruri آرش سروری,@ArashSoruri,12/5/2019 1:46,".
امشب دعوت به آیین #رونمایی از #فصلنامه #بادکوبه در #خانه_وارطان با مدیر این آژانس تبلیغاتی #بابک_بادکوبه مدیر خلاقیت #محسن_رهگذر و سایر دوستان...
#آرش_سروری @ Vartan House خانه وارطان https://instagram.com/p/B5qk7c0nBB5/?igshid=v7mi8g706bzj…",,"['#رونمایی', '#فصلنامه', '#بادکوبه', '#خانه_وارطان', '#بابک_بادکوبه', '#محسن_رهگذر', '#آرش_سروری']",,,13
2,e1fc883eaa6dcbfb7193cb72d8da2d95bb804f65483a4b5a79acef8fe7a6a095,سِرّی,@Serryrr,12/1/2018 1:10,رزومه بفرست برای بادکوبه اگر با کار توی تیم‌های سوشال مدیا و خلاقیت ایده‌پردازی مشکلی نداری.,['@havijebanafsh'],,,,1
3,6bc973c5d3589006137a8c9c0ff2d6c6ce8bccf382324395ae40160bb0e22b96,Behnam2k,@behnam2k,6/19/2018 22:30,بیخیال! بادکوبه ساخته اینا رو؟ خیلی داغونه. چه کاریه آخه! فک میکردم خلاقیت بیشتری داشته باشن!,['@mosnfar'],,1,,
4,9e47706543d4ffd6744fd496c1a9bae212fff27c885e6de25c51258d17bd229e,DmDay.ir,@DmdayIr,4/27/2018 18:00,"#سخنرانها 
محسن رهگذر 
@MohsenRahgozar
 مدیر ارتباطات خلاق دیجیتال بادکوبه در #روز_بازاریابی_دیجیتال درباره خلاقیت و راهکارهای اثربخش صحبت میکنه
برای ثبت نام از کد تخفیف rahgozarvip استفاده کنید. 
سوالاتون از طریق @dmdayBot به دست ما میرسه. 
#dmday
http://dmday.ir",,"['#سخنرانها', '#روز_بازاریابی_دیجیتال', '#dmday']",,,6
5,56491229e1c32428eb53188d8e7d44a22ce81770baa082e01239c9dd6bdf02dd,Hossein Rabiee,@mhrabiee,4/8/2018 7:32,"این آژانس بادکوبه هم شاخ خلاقیت در تبلیغات رو شکونده با کلمه بیمه. 
بیمه دندان با فلان
بیمه لباس با بیصار
بیمه درخشندگی ظروف 
بیمه کوفت",,,,,2
6,9226519ffa0832fbf9ff050b49600d7c4e5f1fb3bbeab553b7e989ca47581237,babak badkoobeh بابک بادکوبه,@BbadkoobehBabak,3/18/2018 23:50,"«اینجا بادکوبه است؛ صدای ارتباط خلاق»
کار ما ارتباط است و این ارتباط قیدی دارد و آن قید، خلاقیت…",,,,,1
7,ea11450384c56bb2b0b25564b1b1c09300d185223091a176894fa8929cc23970,babak badkoobeh بابک بادکوبه,@BbadkoobehBabak,6/24/2017 23:04,٥ #قهرمان #بادكوبه  نماينده ١٥٠ نفر قهرمان در #جشنواره #خلاقيت و #تبليغات شير #كن ٢٠١٧…,,"['#قهرمان', '#بادكوبه', '#جشنواره', '#خلاقيت', '#تبليغات', '#كن']",,,1
