Id,Label,Weight
تخفیف,تخفیف,32
تحویل,تحویل,32
قیمت,قیمت,23
اسنپ_مارکت,اسنپ مارکت,21
دیجی_کالا,دیجی کالا,19
افق_کوروش,افق کوروش,17
اسنپ,اسنپ,11
پشتیبانی,پشتیبانی,10
بهداشتی,بهداشتی,5
اسنپ_فود,اسنپ فود,5
لبنیات,لبنیات,4
خدمات,خدمات,4
اکالا,اکالا,4
مرجوعی,مرجوعی,3
اعتبار,اعتبار,3
پروتئین,پروتئین,3
نان,نان,3
میوه,میوه,1
