word,count
اسنپ,1136
سفارش,644
نون,477
دادم,372
اسنپ فود,370
گرفتم,354
کردم,281
بگیرم,254
زنگ,213
ساعت,212
تومن,209
گفتم,191
مارکت,189
شیرینی,188
رفتم,187
برم,182
خونه,170
خریدم,169
راننده,148
مغازه,142
خرید,133
زدم,125
پیک,121
بخرم,119
فروشگاه,118
تخفیف,117
بستنی,114
پول,109
دقیقه,108
خودم,103
سوپر,101
دیدم,100
میگه,99
گرفتن,95
شدم,94
سوپرمارکت,92
سر,89
صبح,89
غذا,88
دارم,88
بدم,87
روز,87
شیر,86
کار,83
واسه,83
وقتی,79
میدم,79
ماشین,79
شب,78
میکنم,75
برام,74
بیرون,74
می,71
واقعا,71
تحویل,70
داشتم,69
؛,69
استفاده,69
سوپری,69
خب,67
اومدم,67
یکی,66
چی,66
مرغ,66
گوشت,66
ای,65
ماست,65
حالا,65
پشتیبانی,64
اومد,64
اینکه,63
کردن,61
هزار,61
پیاده,61
نداره,60
زد,60
نمیشه,60
منم,60
باز,60
یعنی,59
بخر,59
زده,59
بهم,58
بودم,55
کرده,55
همون,54
وسط,53
#اسنپ,53
ی,52
ک,52
زدن,51
بده,51
سه,50
میخرم,50
کنسل,49
میرم,49
@snappfood,49
خوب,48
دیروز,48
گرفتیم,48
سنگک,48
بسته,46
میگم,46
شکلات,46
دم,46
پنیر,46
نیم,45
#اسنپ فود,45
ارسال,45
تماس,45
قیمت,45
فکر,45
میوه,45
خانومم,45
کلی,44
نان,44
هوس,44
تخم,44
حتی,43
درست,43
ندارم,43
برگشت,43
کم,43
بدن,43
کن,43
دلم,42
کد,41
سوار,41
ازش,40
برو,40
چیپس,39
دوتا,39
پیدا,39
ببخشید,39
اصلا,38
کنه,38
بتونم,38
بشه,38
منو,38
فروشی,37
دوباره,37
حال,37
۱۰,37
هزینه,37
اینا,37
گوشی,37
راحت,37
پرداخت,36
وضعیت,36
"""",36
دست,35
پیگیری,35
جای,35
رستوران,35
بهش,35
تر,35
دارن,35
بیاره,35
هایپر,34
دادیم,34
نونوایی,34
کلا,34
گفتن,34
خونمون,34
طرف,33
اینجا,33
آب,33
جعبه,33
بخورم,33
براش,33
دیشب,32
برا,32
خودش,32
میگن,32
بیشتر,32
۲,32
بزنم,32
مسیر,32
آقا,31
خوردم,31
ماه,31
همیشه,31
بیاد,31
هی,31
هیچی,31
نداشتم,30
وقت,30
دور,30
دستم,30
۱۲۰,30
قشنگ,30
روی,30
دستمال,30
زیر,29
نداریم,29
بگیر,29
ازشون,29
کیک,29
پشت,29
میدن,29
داری,29
مناسب,29
میکنه,28
میاد,28
برات,28
اولین,28
بریم,28
پایین,28
۴,28
۲۰,28
ثبت,28
موقع,28
قهوه,28
وای,28
بچه,28
چای,28
مالیم,28
حساب,27
اومده,27
اسنپ اکسپرس,27
کوچه,27
میخوام,27
کرده_بود,27
پیتزا,27
اونجا,27
مشتری,27
بیا,27
جنسو,27
دقیقا,26
تاکسی,26
خیابون,26
بیام,26
بگم,26
مثلا,26
درصدیه,26
تموم,25
کنن,25
میکنن,25
لغو,25
گذاشتم,25
سرویس,25
هفته,25
چیه,25
خریدن,25
شهر,25
کیلو,25
خدا,25
میده,25
کردیم,25
۵,25
خواستم,25
بابا,25
پولیم,25
هرچی,24
کنار,24
امشب,24
مگه,24
خلاصه,24
نداشت,24
خانم,24
دیجی,24
۱۵,24
میام,24
خانوم,24
دیرتون,24
خنده,23
مورد,23
قرار,23
دونه,23
بره,23
کنی,23
کنیم,23
جایی,23
کالا,23
میخواستم,23
آنلاین,22
تجربه,22
تاخیر,22
۳۰,22
منتظر,22
یکم,22
اونم,22
کرایه,22
یادم,22
زیاد,22
رسید,22
کتاب,22
میگفت,22
بعدش,22
تهران,22
رسیدم,22
باشین,22
بخریم,22
یاد,22
خیابونه,22
مونده,21
شاید,21
نمیدونم,21
نشد,21
ببینم,21
کرونا,21
میکردم,21
سیگار,21
زندگی,21
۴۰,20
فرستادن,20
دوست,20
نگاه,20
گرم,20
افتاد,20
سال,20
کاری,20
۳,20
بد,20
فلان,20
/,20
لباس,20
مجبور,20
انتخاب,20
گریه,20
برگشتم,19
میگیرم,19
سریع,19
انقد,19
فردا,19
بربری,19
رفتیم,19
۱,19
حداقل,19
نمی,19
کل,19
اینه,19
صف,19
کافه,19
انجام,19
آدم,19
خوبه,19
کارت,19
حس,18
پفک,18
شرکت,18
هوا,18
اینترنتی,18
مامانم,18
خودت,18
۵۰,18
موتور,18
خوردن,18
«,18
داریم,18
اشتباه,18
آدرس,18
خورد,18
عکس,18
جلو,18
حرف,18
روزی,18
بخرن,18
یهو,17
تومان,17
محل,17
برامون,17
ساندویچ,17
دار,17
درصد,17
انقدر,17
برگردم,17
نوار,17
میزنه,17
»,17
میاره,17
گل,17
10,17
اپ,17
ماهی,17
چک,17
میشی,17
سفارشم,16
می‌کنه,16
میگیره,16
زود,16
ندارن,16
نمیتونم,16
داخل,16
اضافه,16
شام,16
نزدیک,16
یارو,16
مشکل,16
برنامه,16
خانواده,16
بازم,16
بزن,16
قبول,16
آخه,16
مقصد,16
آقای,16
میزنم,16
والا,16
خاطر,16
خودشون,16
شروع,16
نشستم,16
مرد,16
باکس,16
مترو,16
آوردن,15
نوشابه,15
نکردم,15
خوراکی,15
ظهر,15
آخر,15
خراب,15
نرسیده,15
فهمیدم,15
داغ,15
گرون,15
گذشته,15
بهشون,15
جواب,15
تومنی,15
تلفن,15
خواب,15
دفعه,15
حتما,15
شماره,15
اس,15
براتون,15
پسر,15
بخاطر,15
کشید,15
اینجوری,15
کاش,15
اینقدر,15
بابام,15
برق,15
میشم,15
بندی,14
گیر,14
قنادی,14
فرستاد,14
#اسنپ_مارکت,14
جنس,14
حدود,14
خوبی,14
بجای,14
نوشته,14
سرد,14
قلم,14
؟؟,14
چقدر,14
زن,14
میداد,14
فاصله,14
می‌کنم,14
بشم,14
سفر,14
شه,14
تومنه,14
سیب,14
آماده,14
سیستم,14
تقریبا,14
نوشتم,14
همچین,14
طول,14
تصمیم,14
تن,14
لحظه,14
ازم,14
بقیه,14
نوشیدنی,14
چیکار,14
میخواد,14
میره,14
میکرد,14
حاملس,14
مپ,14
۸,13
پای,13
حضوری,13
حالی,13
اعتبار,13
داشتیم,13
کیف,13
۱۲,13
دیر,13
اسم,13
بعضی,13
غذای,13
کباب,13
سری,13
ترین,13
نفر,13
متاسفانه,13
@Snapp_Team,13
درخواست,13
رفتن,13
روشن,13
آخرش,13
تایید,13
برسه,13
ساعته,13
میشد,13
سبد,13
مبلغ,13
شده_بود,13
دلستر,13
دلیل,13
سگ,13
مملکت,13
می‌دم,13
۲۰۰,13
پولی,13
روش,13
گف,13
شم,13
ناهار,12
میرسه,12
بفرستم,12
خورده,12
بابت,12
۱۰۰,12
سیر,12
ملت,12
کردی,12
جمع,12
اخر,12
نمیکنم,12
کیسه,12
عنوان,12
ساده,12
بازی,12
نیستم,12
سمت,12
میلیون,12
فوری,12
نداری,12
میکنیم,12
خوش,12
میتونم,12
ایران,12
قسمت,12
خدمات,12
لقمه,12
روغن,12
اب,12
خرج,12
يه,12
بازار,12
پر,12
آخرین,12
باشم,12
چقد,12
بهتر,12
اصن,12
موتوری,12
توقف,12
میخرن,12
اعلام,11
باهم,11
رد,11
پاک,11
چندتا,11
استرس,11
۶,11
یدونه,11
بیار,11
مامان,11
تنقلات,11
۱۱,11
نظر,11
بهترین,11
خالی,11
توش,11
دیجیکالا,11
بری,11
پولم,11
میدیم,11
عذرخواهی,11
بگیری,11
دانشگاه,11
جوری,11
سرکار,11
بیدار,11
زمینی,11
میارن,11
انتظار,11
ب,11
نظرم,11
بذار,11
زمان,11
پدر,11
کدوم,11
کاغذی,11
صحبت,11
کیلویی,11
بودیم,11
اونا,11
همش,11
بگیره,11
‌,11
شکایت,11
داداش,11
بدو,11
هستن,11
قدم,11
پراید,11
عصر,10
جمعه,10
3,10
فحش,10
شدیم,10
حوصله,10
امکان,10
فیلم,10
عوض,10
دوستم,10
لوازم,10
بهداشتی,10
۶۰,10
غذایی,10
بسیار,10
همینه,10
احساس,10
نباشه,10
بیارن,10
سی,10
بیست,10
۷,10
کمتر,10
پیام,10
هتل,10
ببین,10
صبر,10
خواهرم,10
صد,10
می‌خوام,10
هاش,10
بزرگ,10
بخش,10
چیزا,10
امتیاز,10
اوضاع,10
تعریف,10
لیست,10
بیارم,10
هستم,10
دنبال,10
برابر,10
شارژ,10
زده_بود,10
نیومد,10
دختر,10
قارچ,10
وسایل,10
نهایت,10
دارید,10
حد,10
گوشیم,10
دکتر,10
درد,10
موندم,10
راضی,10
میخوای,10
میخوره,9
۹,9
اسنپم,9
الکی,9
نصف,9
سفارشمو,9
پسره,9
لواش,9
هشت,9
عزیز,9
ادرس,9
دوستام,9
هات,9
خاک,9
لذت,9
برنج,9
گوجه,9
عین,9
اسنپ‌فود,9
چهل,9
کنسرو,9
غیر,9
نداد,9
مخصوص,9
ن,9
تاریخ,9
خوردیم,9
سالاد,9
انگار,9
اینو,9
پرت,9
خشک,9
وارد,9
بردن,9
زندگیم,9
حالم,9
فرستاده,9
پاشدم,9
بدی,9
|,9
قراره,9
خامه,9
اخه,9
مادر,9
سوپرمارکتی,9
زحمت,9
امتحان,9
کامل,9
پولش,9
فروشنده,9
افتادم,9
صندلی,9
واسم,9
صفحه,9
میرفتم,9
بگو,9
توییت,9
جون,9
روزه,9
ديگه,9
امیدوارم,9
اینم,9
موجود,9
حسابم,9
۲۵,9
بردم,9
بخوریم,9
تپسی,9
نصفه,9
تست,9
نگه,9
بین,9
واست,9
تونستم,9
کیفیت,9
حلال,9
حقوق,9
توروخدا,9
گاهی,9
ماسک,9
میکنی,9
جلوی,9
هماهنگ,8
سعی,8
کاملا,8
حرکت,8
فاکتور,8
خارج,8
سس,8
اسنپی,8
پاشو,8
معطل,8
خوشمزه,8
شکر,8
رایگان,8
باعث,8
قبلا,8
۸۰,8
جور,8
خر,8
بیش,8
دوستان,8
براشون,8
طریق,8
بفرستیم,8
پ,8
دارو,8
نشه,8
جاش,8
زدیم,8
بدیم,8
هزارتومن,8
نداشته,8
پشتیبان,8
بکنم,8
نمیکنه,8
ست,8
نمیاد,8
ببره,8
نوبت,8
صبحانه,8
ته,8
ازین,8
موارد,8
کاکائو,8
وضع,8
می‌شه,8
کرده_بودم,8
شون,8
4,8
نکنه,8
بارون,8
اجازه,8
خودتون,8
۴۵,8
عادت,8
فرستادم,8
جت,8
نرفتم,8
بهتون,8
دوره,8
نمی‌دونم,8
مصرف,8
کوبیده,8
تیکه,8
نشون,8
=,8
صورت,8
بفرست,8
شرایط,8
نگم,8
نتیجه,8
حجم,8
گرفتند,8
نیس,8
اونی,8
وگرنه,8
کولر,8
۷۰,8
فشار,8
بنزین,8
بیمارستان,8
درس,8
مسافر,8
ساله,8
اتوبوس,8
مجبورم,8
اسنپیه,8
سبزی,8
بعدشم,7
سفارشو,7
کسب,7
میری,7
سراغ,7
کارم,7
واریز,7
اطلاع,7
اتفاقی,7
؟؟؟,7
محدوده,7
متوجه,7
دیقه,7
سوال,7
مهم,7
جان,7
افتضاح,7
کله,7
اشتباهی,7
بخور,7
شیشه,7
حقیقتا,7
جدیدا,7
افتاده,7
نونی,7
سوسیس,7
پولشو,7
پارک,7
خام,7
دوبار,7
بدین,7
سلام,7
پیکش,7
!!!!,7
مرجوع,7
تعداد,7
جایگزین,7
باش,7
بخری,7
توضیح,7
توجه,7
میدادم,7
گشادی,7
سطح,7
اطراف,7
خوشحال,7
آیس,7
