Date,Code
2022/5/25 11:00:00,E - 12
2022/5/25 11:00:00,D - 10
2022/5/25 11:00:00,A - 11
2022/5/25 11:00:00,C - 10
2022/5/25 12:00:00,C - 11
2022/5/25 12:00:00,C - 10
2022/5/25 14:00:00,A - 11
2022/5/25 15:00:00,C - 10
2022/5/25 15:00:00,A - 10
2022/5/25 16:00:00,C - 11
2022/5/25 16:00:00,B - 10
2022/5/25 17:00:00,E - 13
2022/5/25 18:00:00,C - 11
2022/5/25 19:00:00,C - 10
2022/5/25 20:00:00,B - 12
2022/5/25 21:00:00,C - 13
2022/5/25 21:00:00,B - 12
2022/5/25 22:00:00,A - 13
2022/5/25 23:00:00,E - 12
2022/5/26 08:00:00,A - 10
2022/5/26 10:00:00,C - 11
2022/5/26 10:00:00,B - 10
2022/5/26 11:00:00,A - 11
2022/5/26 12:00:00,C - 10
2022/5/26 14:00:00,A - 11
2022/5/26 14:00:00,C - 10
2022/5/26 15:00:00,C - 11
2022/5/26 15:00:00,A - 10
2022/5/26 16:00:00,B - 11
2022/5/28 08:00:00,C - 10
2022/5/28 08:00:00,A - 10
2022/5/28 08:00:00,A - 11
2022/5/28 09:00:00,C - 11
2022/5/28 10:00:00,B - 10
2022/5/28 11:00:00,D - 10
2022/5/28 11:00:00,C - 11
2022/5/28 11:00:00,A - 11
2022/5/28 12:00:00,C - 10
2022/5/28 14:00:00,A - 11
2022/5/28 14:00:00,C - 10
2022/5/28 15:00:00,C - 11
2022/5/28 15:00:00,A - 10
2022/5/28 16:00:00,C - 11
2022/5/28 16:00:00,B - 10
2022/5/28 20:00:00,C - 13
2022/5/28 20:00:00,B - 12
2022/5/28 22:00:00,A - 13
2022/5/28 22:00:00,C - 13
2022/5/29 10:00:00,B - 10
2022/5/29 14:00:00,C - 10
2022/5/29 15:00:00,A - 10
2022/5/29 16:00:00,C - 10
2022/5/29 16:00:00,B - 11
2022/5/29 18:00:00,C - 11
2022/5/29 20:00:00,B - 12
2022/5/29 21:00:00,B - 12
2022/5/29 23:00:00,C - 13
